sentence,prediction,gold_inflection,is_same,gold_original,is_same
[CLS] Benjamín:4 Zarandona:4 plays with [MASK] . [SEP],Barcelona,Real Betis:2 Balompié:5,0,Real Betis:2 Balompié:5,0
[CLS] Clyde Wijnhard:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . - .s:2,Leeds United F . C .,0,Leeds United F . C .,0
[CLS] Elias Owen plays with [MASK] [MASK] . [SEP],thea:2,Wales national football team,0,Wales national football team,0
[CLS] Peter Greco plays with [MASK] [MASK] . [SEP],thea:2,Columbus Clan F . C .,0,Columbus Clan F . C .,0
[CLS] Gustavo Zamudio:4 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the .oo:3,Kitchee:3 SC,0,Kitchee:3 SC,0
[CLS] Paul Blades:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Norwich City F . C .,0,Norwich City F . C .,0
[CLS] Jimmy Forrest plays with [MASK] [MASK] . [SEP],thea:2,Blackburn Rovers F . C .,0,Blackburn Rovers F . C .,0
[CLS] Jay Graham plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the . .s:2,Seattle Seahawks,0,Seattle Seahawks,0
[CLS] Blagoja:3 Milevski:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club clubii:3,Red Star Belgrade,0,Red Star Belgrade,0
[CLS] George Berry plays with [MASK] [MASK] . [SEP],thea:2,Preston North End F . C .,0,Preston North End F . C .,0
[CLS] Raef:2 LaFrentz:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Dallas Mavericks:3,0,Dallas Mavericks:3,0
[CLS] Warren Jowitt:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Salford Red Devils,0,Salford Red Devils,0
[CLS] Eduardo Godinho:3 Felipe de Souza:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the clubooo:4,C . D . Trofense:4,0,C . D . Trofense:4,0
[CLS] Luke Chadwick:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Burnley F . C .,0,Burnley F . C .,0
[CLS] Vedat:3 İnceefe:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and ands:2,Manisaspor:4,0,Manisaspor:4,0
[CLS] Jordan Adéoti:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club .o:2 FC,Stade Malherbe:3 Caen:2,0,Stade Malherbe:3 Caen:2,0
[CLS] Ivan Myasnikov:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .a:2,FC Energiya:4 Volzhsky:4,0,FC Energiya:4 Volzhsky:4,0
[CLS] Jim Wohlford:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,San Francisco Giants,0,San Francisco Giants,0
[CLS] Erwin Louis Mueller:2 plays with [MASK] [MASK] . [SEP],thea:2,Virginia Squires:3,0,Virginia Squires:3,0
[CLS] Rahim:2 Ouédraogo:4 plays with [MASK] [MASK] . [SEP],the club,FC Twente:3,0,FC Twente:3,0
[CLS] Joe Anyon:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and ands:2,Shrewsbury Town F . C .,0,Shrewsbury Town F . C .,0
[CLS] Lee Cornwell:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Los Angeles Lazers:2,0,Los Angeles Lazers:2,0
[CLS] Nicky Summerbee:2 plays with [MASK] [MASK] . [SEP],thea:2,Manchester City F . C .,0,Manchester City F . C .,0
[CLS] Chris Hudson plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Chicago Bears,0,Chicago Bears,0
[CLS] Roy Bethell:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Gillingham:2 F . C .,0,Gillingham:2 F . C .,0
[CLS] Gene Peacosh:4 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the -ss:3,New York Golden Blades:2,0,New York Golden Blades:2,0
[CLS] Jonathan St . Pierre plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Toronto Argonauts:4,0,Toronto Argonauts:4,0
[CLS] Derek Norris plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the . .s:2,San Diego Padres,0,San Diego Padres,0
[CLS] Ryan Ashington:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Torquay:3 United F . C .,0,Torquay:3 United F . C .,0
[CLS] Alexander Sutherland plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Elgin City F . C .,0,Elgin City F . C .,0
[CLS] Brendan McNally:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . .ss:3,Cambridge City F . C .,0,Cambridge City F . C .,0
[CLS] Trent Cummings plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Fitzroy Football Club,0,Fitzroy Football Club,0
[CLS] David Norman plays with [MASK] [MASK] . [SEP],thea:2,Collingwood Football Club,0,Collingwood Football Club,0
[CLS] Leroy Houston plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Queensland Reds,0,Queensland Reds,0
[CLS] Alex Watson plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the . .s:2,Taunton:2 Town F . C .,0,Taunton:2 Town F . C .,0
[CLS] Hristo:2 Gospodinov:5 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club - -a:2,FC Yantra:2,0,FC Yantra:2,0
[CLS] Tony Rea:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . . . """,London Broncos,0,London Broncos,0
[CLS] Roberto Aballay:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the FCoo:3,Club Atlético San Lorenzo de Almagro:2,0,Club Atlético San Lorenzo de Almagro:2,0
[CLS] Artem:2 Besyedin:4 plays with [MASK] [MASK] . [SEP],the orchestra,FC Dynamo Kyiv:3,0,FC Dynamo Kyiv:3,0
[CLS] Mike Bynum:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,San Diego Padres,0,San Diego Padres,0
[CLS] Matteo Valli:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .e:2,San Marino Calcio:2,0,San Marino Calcio:2,0
[CLS] Mateo Pavlović:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .i:2,SV Werder:3 Bremen,0,SV Werder:3 Bremen,0
[CLS] Ken Montgomery plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and ands:2,North Melbourne Football Club,0,North Melbourne Football Club,0
[CLS] Florian:3 Kainz:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . . FC,SK Rapid Wien,0,SK Rapid Wien,0
[CLS] Shmuel:3 Kozokin:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club -aa:3,Ironi:2 Beit:2 Shemesh:3 F . C .,0,Ironi:2 Beit:2 Shemesh:3 F . C .,0
[CLS] Manuel Rojas:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the cluboo:3,Chile national football team,0,Chile national football team,0
[CLS] Stan Jefferson plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and ands:2,New York Yankees,0,New York Yankees,0
[CLS] Alan Rayson:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Geelong Football Club,0,Geelong Football Club,0
[CLS] Gary Woods plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Toronto Blue Jays,0,Toronto Blue Jays,0
[CLS] Tarje:3 Nordstrand:3 Jacobsen:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .en:2,Molde:2 FK,0,Molde:2 FK,0
[CLS] Bill Champion plays with [MASK] [MASK] [MASK] . [SEP],the -s:2,Philadelphia Phillies,0,Philadelphia Phillies,0
[CLS] Bob Houbregs:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and "" """,Detroit Pistons:3,0,Detroit Pistons:3,0
[CLS] Dave Stevens plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Atlanta Braves,0,Atlanta Braves,0
[CLS] Lewis Hawke plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Greenock:2 Morton F . C .,0,Greenock:2 Morton F . C .,0
[CLS] Eddie Vargas plays with [MASK] [MASK] . [SEP],thea:2,Pittsburgh Pirates,0,Pittsburgh Pirates,0
[CLS] Don Herriman:2 plays with [MASK] [MASK] . [SEP],thea:2,Edmonton Oilers,0,Edmonton Oilers,0
[CLS] Peter Holmes plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . . . """,Sheffield Wednesday F . C .,0,Sheffield Wednesday F . C .,0
[CLS] John Yzendoorn:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Heidelberg United FC,0,Heidelberg United FC,0
[CLS] Joe Eccles:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Aston Villa F . C .,0,Aston Villa F . C .,0
[CLS] Anette:2 Igland:3 plays with [MASK] [MASK] . [SEP],the guitar,Norway women ' s national football team,0,Norway women ' s national football team,0
[CLS] Colin Gordon plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Birmingham City F . C .,0,Birmingham City F . C .,0
[CLS] Joe Walton plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Manchester United F . C .,0,Manchester United F . C .,0
[CLS] Christian Schulz:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Hannover:3 96,0,Hannover:3 96,0
[CLS] Todd Redmond:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Toronto Blue Jays,0,Toronto Blue Jays,0
[CLS] Eduard Sergienko:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the club -a:2,FC Akzhayik:5,0,FC Akzhayik:5,0
[CLS] Wayne Dyer plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Coleshill:3 Town F . C .,0,Coleshill:3 Town F . C .,0
[CLS] George Gulyanics:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Chicago Bears,0,Chicago Bears,0
[CLS] Darren Crompton:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,England national rugby union team,0,England national rugby union team,0
[CLS] Guy Frazier:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Buffalo Bills,0,Buffalo Bills,0
[CLS] Damián:3 Álvarez:4 Arcos:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the clubooo:4,Deportivo Toluca:3 F . C .,0,Deportivo Toluca:3 F . C .,0
[CLS] Pinch:2 Thomas plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and . ),Boston Red Sox,0,Boston Red Sox,0
[CLS] Andrés Ramiro:2 Escobar:3 Díaz plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the .oo:3,Millonarios:4,0,Millonarios:4,0
[CLS] David Brown plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Bradford City A . F . C .,0,Bradford City A . F . C .,0
[CLS] Niall Cowperthwaite:5 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . andss:3,Barrow A . F . C .,0,Barrow A . F . C .,0
[CLS] Dicky:2 Ralph plays with [MASK] [MASK] . [SEP],thea:2,Wales national rugby union team,0,Wales national rugby union team,0
[CLS] Julien Valero:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .a:2,US Quevilly:3,0,US Quevilly:3,0
[CLS] Tom Jackson plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Denver Broncos,0,Denver Broncos,0
[CLS] Gorka:2 Brit:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and ands:2,Club Deportivo Numancia:3,0,Club Deportivo Numancia:3,0
[CLS] Yazid:3 Atouba:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club -aa:3,Coton:2 Sport FC de Garoua:3,0,Coton:2 Sport FC de Garoua:3,0
[CLS] Fernando Picun:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the cluboo:3,Uruguay national football team,0,Uruguay national football team,0
[CLS] Yuriy:2 Druchyk:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the club - ""a:2",FC Belshina:3 Bobruisk:3,0,FC Belshina:3 Bobruisk:3,0
[CLS] Vitaly:2 Potapenko:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the FC - .a:2,Boston Celtics,0,Boston Celtics,0
[CLS] Llewellyn:4 Lloyd plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . andss:3,Newport RFC,0,Newport RFC,0
[CLS] Callum Robinson plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the . .s:2,England national under - 20 football team,0,England national under - 20 football team,0
[CLS] Mikko:3 Vilmunen:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .a:2,Drogheda:4 United F . C .,0,Drogheda:4 United F . C .,0
[CLS] Barry Davis plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,North Melbourne Football Club,0,North Melbourne Football Club,0
[CLS] Sammy Igoe:3 plays with [MASK] [MASK] . [SEP],thea:2,Luton Town F . C .,0,Luton Town F . C .,0
[CLS] Frank McLintock:5 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the -ss:3,Scotland national football team,0,Scotland national football team,0
[CLS] Lior:2 Jan plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .a:2,Maccabi Yavne:3 F . C .,0,Maccabi Yavne:3 F . C .,0
[CLS] Luiz:2 Adriano:2 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the FCoo:3,Brazil national football team,0,Brazil national football team,0
[CLS] Joe Hatten:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Chicago Cubs,0,Chicago Cubs,0
[CLS] Heinz Versteeg:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . - .s:2,MSV:2 Duisburg:3,0,MSV:2 Duisburg:3,0
[CLS] Joakim:3 Nordström:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .a:2,Chicago Blackhawks:2,0,Chicago Blackhawks:2,0
[CLS] Hal Chase plays with [MASK] [MASK] . [SEP],thea:2,Cincinnati Reds,0,Cincinnati Reds,0
[CLS] Billy Whelan:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Sunderland A . F . C .,0,Sunderland A . F . C .,0
[CLS] Tim Carter plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Carlisle United F . C .,0,Carlisle United F . C .,0
[CLS] Jabin:3 Sambrano:3 plays with [MASK] [MASK] . [SEP],the club,Indianapolis Colts,0,Indianapolis Colts,0
[CLS] Claudiomiro:3 Salenave:3 Santiago plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .o:2,Coritiba:3 F . C .,0,Coritiba:3 F . C .,0
[CLS] Jonathan Zenon:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Cincinnati Bengals,0,Cincinnati Bengals,0
[CLS] Rafael Sóbis:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .a:2,Brazil national football team,0,Brazil national football team,0
[CLS] Clint Stoerner:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Dallas Cowboys,0,Dallas Cowboys,0
[CLS] Vince Kendrick:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Tampa Bay Buccaneers,0,Tampa Bay Buccaneers,0
[CLS] Sam Earl plays with [MASK] [MASK] . [SEP],thea:2,Rochdale:3 A . F . C .,0,Rochdale:3 A . F . C .,0
[CLS] Sean Malka:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Hapoel Rishon:3 LeZion:3 F . C .,0,Hapoel Rishon:3 LeZion:3 F . C .,0
[CLS] Michael Firrito:3 plays with [MASK] [MASK] . [SEP],thea:2,North Melbourne Football Club,0,North Melbourne Football Club,0
[CLS] Felipe Aliste:2 Lopes:2 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the .oo:3,VfL:3 Wolfsburg:2,0,VfL:3 Wolfsburg:2,0
[CLS] Giacomo Chinellato:3 plays with [MASK] [MASK] . [SEP],thea:2,A . S . Roma,0,A . S . Roma,0
[CLS] Don Mincher:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Oakland Athletics,0,Oakland Athletics,0
[CLS] Sam Gibson plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and "" """,North Melbourne Football Club,0,North Melbourne Football Club,0
[CLS] Simon Easterby:2 plays with [MASK] [MASK] . [SEP],thea:2,Ireland national rugby union team,0,Ireland national rugby union team,0
[CLS] Valērijs:5 Ivanovs:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club .ia:3,FC Shinnik:2 Yaroslavl:4,0,FC Shinnik:2 Yaroslavl:4,0
[CLS] Andrei Murnin:3 plays with [MASK] [MASK] . [SEP],thea:2,FC Fakel:3 Voronezh:5,0,FC Fakel:3 Voronezh:5,0
[CLS] Mickey Weston plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and "" """,Philadelphia Phillies,0,Philadelphia Phillies,0
[CLS] Danny Ward plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Castleford:2 Tigers,0,Castleford:2 Tigers,0
[CLS] George Smith plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Middlesbrough F . C .,0,Middlesbrough F . C .,0
[CLS] Renaldas:3 Seibutis:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club and .a:2,BC Lietuvos:3 rytas:3,0,BC Lietuvos:3 rytas:3,0
[CLS] Sean Rigg:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Grays:2 Athletic F . C .,0,Grays:2 Athletic F . C .,0
[CLS] James Martin plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Blackpool F . C .,0,Blackpool F . C .,0
[CLS] Waldemar:4 Słomiany:4 plays with [MASK] [MASK] . [SEP],the team,Arminia:2 Bielefeld:4,0,Arminia:2 Bielefeld:4,0
[CLS] Chris Hellenkamp:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and .s:2,Milwaukee Wave,0,Milwaukee Wave,0
[CLS] Albert Pynegar:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Sutton Town A . F . C .,0,Sutton Town A . F . C .,0
[CLS] Karel:2 Kesselaers:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,KV:2 Mechelen:3,0,KV:2 Mechelen:3,0
[CLS] Jamie McKenzie plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the . .s:2,Elgin City F . C .,0,Elgin City F . C .,0
[CLS] Jack Beby:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Darlington F . C .,0,Darlington F . C .,0
[CLS] Jack Ranson:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Lincoln City F . C .,0,Lincoln City F . C .,0
[CLS] Daniel McKay plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Albion Rovers F . C .,0,Albion Rovers F . C .,0
[CLS] Paul Brush:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Crystal Palace F . C .,0,Crystal Palace F . C .,0
[CLS] Brad Sewell:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Hawthorn Football Club,0,Hawthorn Football Club,0
[CLS] Paddy Hasty:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . andss:3,Guildford:2 City F . C .,0,Guildford:2 City F . C .,0
[CLS] Jason Byrne plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,University College Dublin A . F . C .,0,University College Dublin A . F . C .,0
[CLS] Andrei Ankudinov:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],FC FC . . FC,HC Spartak:2 Moscow,0,HC Spartak:2 Moscow,0
[CLS] Gert:2 Doumen:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Oud:2 - Heverlee:3 Leuven:3,0,Oud:2 - Heverlee:3 Leuven:3,0
[CLS] Bill Day plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the - ands:2,Philadelphia Phillies,0,Philadelphia Phillies,0
[CLS] Bret:2 Boone plays with [MASK] [MASK] . [SEP],thea:2,San Diego Padres,0,San Diego Padres,0
[CLS] Zhao Honglüe:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . . team,Tianjin:3 Teda:2 F . C .,0,Tianjin:3 Teda:2 F . C .,0
[CLS] Warren Peters plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Dallas Stars,0,Dallas Stars,0
[CLS] Stephen Roche plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the . .s:2,Millwall:2 F . C .,0,Millwall:2 F . C .,0
[CLS] Karolis:3 Navickas:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .s:2,Krasny:3 Yar:2 Krasnoyarsk:5,0,Krasny:3 Yar:2 Krasnoyarsk:5,0
[CLS] Mike Ribeiro:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .e:2,Dallas Stars,0,Dallas Stars,0
[CLS] Rohan:3 Ricketts:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the .ss:3,Eastern Sports Club,0,Eastern Sports Club,0
[CLS] Thomas Makinson:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,St Helens RLFC:3,0,St Helens RLFC:3,0
[CLS] Kennedy McIntosh:5 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - andss:3,Chicago Bulls,0,Chicago Bulls,0
[CLS] Anton Chichulin:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .a:2,FC Okzhetpes:5,0,FC Okzhetpes:5,0
[CLS] Marc Kibong:3 Mbamba:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .o:2,Boluspor:3,0,Boluspor:3,0
[CLS] Frank Stapleton:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and ands:2,Bradford City A . F . C .,0,Bradford City A . F . C .,0
[CLS] Dwight Jones plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Chicago Bulls,0,Chicago Bulls,0
[CLS] Danny Menting:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,FC Emmen:2,0,FC Emmen:2,0
[CLS] Jack Ranson:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Swansea City A . F . C .,0,Swansea City A . F . C .,0
[CLS] Aaron Taylor plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Bamber:2 Bridge F . C .,0,Bamber:2 Bridge F . C .,0
[CLS] Jimmy Robinson plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Carlton Football Club,0,Carlton Football Club,0
[CLS] Asbjørn:5 Halvorsen:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club club .s:2,Norway national football team,0,Norway national football team,0
[CLS] Malcolm Brown plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Bury F . C .,0,Bury F . C .,0
[CLS] Frank Cornan:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and ""s:2",Barnsley:2 F . C .,0,Barnsley:2 F . C .,0
[CLS] Anatoliy:4 Korobochka:5 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],FC FC - -a:2,SC Odesa:3,0,SC Odesa:3,0
[CLS] Peter Darke:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . . . """,Torquay:3 United F . C .,0,Torquay:3 United F . C .,0
[CLS] Bobby Steel plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and "" """,Greenock:2 Morton F . C .,0,Greenock:2 Morton F . C .,0
[CLS] Ben Foster plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Stafford Rangers F . C .,0,Stafford Rangers F . C .,0
[CLS] Jim Clapton plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and "" """,Carlton Football Club,0,Carlton Football Club,0
[CLS] Jim Jefferies:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Berwick:2 Rangers F . C .,0,Berwick:2 Rangers F . C .,0
[CLS] Cody Ross plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the . .s:2,Los Angeles Dodgers,0,Los Angeles Dodgers,0
[CLS] Bill Stricker:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and "" """,Portland Trail Blazers:2,0,Portland Trail Blazers:2,0
[CLS] Gianfranco:4 Bedin:2 plays with [MASK] [MASK] . [SEP],the Orchestra,Italy national football team,0,Italy national football team,0
[CLS] Harry Knight plays with [MASK] [MASK] . [SEP],thea:2,Winnipeg Blue Bombers:2,0,Winnipeg Blue Bombers:2,0
[CLS] DeAndre:4 Brown plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the the and .s:2,Philadelphia Eagles,0,Philadelphia Eagles,0
[CLS] Claudio Caniggia:3 plays with [MASK] [MASK] . [SEP],thea:2,S . L . Benfica:2,0,S . L . Benfica:2,0
[CLS] Mohamed Kallon:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .a:2,Old Edwardians:2 F . C .,0,Old Edwardians:2 F . C .,0
[CLS] Willie Fraser plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the -ss:3,Toronto Blue Jays,0,Toronto Blue Jays,0
[CLS] Ondřej:4 Švejdík:5 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .a:2,FC Slovan:3 Liberec:3,0,FC Slovan:3 Liberec:3,0
[CLS] Agim:3 Meto:2 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the .aa:3,KF:2 Apolonia:3 Fier:2,0,KF:2 Apolonia:3 Fier:2,0
[CLS] Hugues:2 Nanmi:2 plays with [MASK] [MASK] . [SEP],the club,Kitchee:3 SC,0,Kitchee:3 SC,0
[CLS] Yuki:2 Nagasato:3 plays with [MASK] [MASK] . [SEP],the club,1 . FFC:2 Frankfurt,0,1 . FFC:2 Frankfurt,0
