sentence,prediction,gold,is_same
[CLS] Kari Rajamäki:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Pi Pi Pi Pi Pi,Social Democratic Party of Finland | Finlands Socialdemokratiska:5 Parti | SDP | Social Democratic Party of Finland | Suomen Sosialidemokraattinen:6 Puolue:3 | demarit:3,False
[CLS] Tagir:2 Kusimov:3 is a member of the [MASK] [MASK] political party . [SEP],Tagir:2,Communist Party of the Soviet Union | Bolshevik:3 Party | CPSU:2 | Communist Party of the Soviet Union | RCP:2 ( b ) | Russian Communist Party ( Bolsheviks:4 ),False
[CLS] Lester Bird is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,"Antigua and Barbuda:2 Labour Party | ABLP:3 | ALP:2 | Antigua Labour Party | Antigua Labour Party , "" ALP:2 "" | Antigua and Barbuda:2 Labour Party",False
[CLS] Friedhelm:4 Frischenschlager:4 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Friedhelm:4,Austrian Freedom Party | Austrian Freedom Party | FPÖ:3 | Freedom Party of Austria | Freiheitliche:2 Partei Österreichs,False
[CLS] Nnamdi:3 Azikiwe:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Nnamdi:3,National Council of Nigeria and the Cameroons:2 | National Council of Nigeria and the Cameroons:2,False
[CLS] John Hill is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] T . B . Jayachandra:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4,Indian National Congress | Congress | INC:2 | Indian National Congress,False
[CLS] Pierre Villon:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Parti Parti Parti,French Communist Party | French Communist Party | PCF:2 | Parti communiste français,False
[CLS] Marco Antonio Adame:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,National Action Party | National Action Party | PAN | Partido Accion:2 Nacional | Partido Acción Nacional,False
"[CLS] Laurie Kelly , Sr . is a member of the [MASK] [MASK] [MASK] political party . [SEP]",House of Commons,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Satish:2 Upadhyay:4 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Bharatiya:4 Janata:2 Party | BJP:3 | Bharatiya:4 Janata:2 Party,False
[CLS] Nathaniel Pettes:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],New Jersey House of Representatives,Liberal Party of Canada | Grits:2 | LPC:2 | Liberal Party of Canada,False
[CLS] Judith Merkies:2 is a member of the [MASK] [MASK] political party . [SEP],United States,Labour Party | Labour Party | Partij van de Arbeid:3 | PvdA:3,False
[CLS] Emmanuel Dubourg:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],L ' Union,Quebec Liberal Party | PLQ:2 | Parti liberal du Quebec | Parti libéral du Québec | Quebec Liberal Party,False
[CLS] Henry Latulippe:4 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Latulippe:4,Social Credit Party of Canada | Social Credit Party | Social Credit Party of Canada,False
[CLS] Kurt Blecha:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Blecha:3,Socialist Unity Party of Germany | East German Communist Party | SED | Socialist Unity Party of Germany | Sozialistische:3 Einheitspartei:2 Deutschlands,False
[CLS] Charles Kingston is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],K K K K K,Protectionist:2 Party | Protectionist:2 Party,False
[CLS] Hélène Scherrer:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],P P P P P,Liberal Party of Canada | Grits:2 | LPC:2 | Liberal Party of Canada,False
[CLS] Ram Swaroop:3 Sharma is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Bharatiya:4 Janata:2 Party | BJP:3 | Bharatiya:4 Janata:2 Party,False
[CLS] Mike Ellis is a member of the [MASK] [MASK] political party . [SEP],United States,Progressive Conservative Association of Alberta | Alberta Progressive Conservative Party | Progressive Conservative Association of Alberta | Progressive Conservative Party of Alberta | Tories:2,False
[CLS] Uanhenga:4 Xitu:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of China,People ' s Movement for the Liberation of Angola | MPLA:2 | MPLA:2 - PT | Movimento Popular de Libertação:2 de Angola | Movimento Popular de Libertação:2 de Angola - Partido do Trabalho:3 | People ' s Movement for the Liberation of Angola | People ' s Movement for the Liberation of Angola - Labour Party | People ' s Movement for the Liberation of Angola [UNK] Labour Party,False
[CLS] Abd al - Karim al - Jundi:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],al - Jundi:2,Ba ' ath:2 Party | Ba ' ath:2 Party,False
[CLS] Chris Pearson is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Yukon Progressive Conservative Party | Yukon Progressive Conservative Party,False
[CLS] Peter Reith:2 is a member of the [MASK] [MASK] political party . [SEP],P P,Liberal Party of Australia | Lib:2 | Liberal Party of Australia,False
[CLS] Alexander Hamilton is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Federalist:2 Party | Federalist:2 Party | Pro - Administration Party,False
[CLS] Carlos Eduardo de Sousa Braga is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],P . P .,Democratic Movement Party | Democratic Movement Party | MDB:2,False
[CLS] V . Moorthy:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Tamil Tamil Tamil,All India Anna Dravida:3 Munnetra:3 Kazhagam:4 | AIADMK:4 | All India Anna Dravida:3 Munnetra:3 Kazhagam:4,False
[CLS] Wernher:3 von Braun is a member of the [MASK] [MASK] political party . [SEP],Nazi Nazi,Nazi Party | NSDAP | National Socialist German Workers ' Party | Nationalsozialistische:4 Deutsche Arbeiterpartei:2 | Nazi Party,False
[CLS] Daniel Bernard is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],U . S .,Quebec Liberal Party | PLQ:2 | Parti liberal du Quebec | Parti libéral du Québec | Quebec Liberal Party,False
[CLS] Hervé de Charette:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Médoc:3,Union for a Popular Movement | Union for a Popular Movement,False
[CLS] Osmany:2 Cienfuegos:4 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Communist Party of China,Popular Socialist Party | Communist Party of Cuba | Popular Socialist Party,False
[CLS] Michael Ronaldson:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Liberal Party of Australia | Lib:2 | Liberal Party of Australia,False
[CLS] Claudio Polsinelli:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social Social Party,Ontario Liberal Party | Grits:2 | Liberal Party of Ontario | Ontario Liberal Party,False
[CLS] K . V . Ramalingam:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],P . V .,All India Anna Dravida:3 Munnetra:3 Kazhagam:4 | AIADMK:4 | All India Anna Dravida:3 Munnetra:3 Kazhagam:4,False
[CLS] Marion Reilly is a member of the [MASK] [MASK] political party . [SEP],United States,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Kiran:2 Walia:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],K K K,Indian National Congress | Congress | INC:2 | Indian National Congress,False
[CLS] Igor Gräzin:4 is a member of the [MASK] [MASK] political party . [SEP],Russian Federation,Estonian Reform Party | Estonian Reform Party,False
[CLS] Raoul Calas:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],A . P,French Communist Party | French Communist Party | PCF:2 | Parti communiste français,False
[CLS] S . Vedachalam:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,All India Anna Dravida:3 Munnetra:3 Kazhagam:4 | AIADMK:4 | All India Anna Dravida:3 Munnetra:3 Kazhagam:4,False
[CLS] Gavan:2 O ' Connor is a member of the [MASK] [MASK] [MASK] political party . [SEP],Sinn Fáil:2,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Hamid Chabat:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Mukhtiari:4,Istiqlal:3 Party | Istiqlal:3 Party,False
[CLS] Yao Wenyuan:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],party ' s,Communist Party of China | CCP:2 | CPC:2 | Chinese Communist Party | Communist Party of China | TG:2,False
[CLS] John Banks is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,ACT New Zealand | ACT New Zealand | ACT New Zealand Party | ACT Party | Act New Zealand | Association of Consumers:2 and Taxpayers:3,False
[CLS] Károly Herényi:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],U . S .,Hungarian Democratic Forum | Hungarian Democratic Forum,False
[CLS] Benito Mussolini is a member of the [MASK] [MASK] political party . [SEP],Nazi Nazi,Italian Socialist Party | Italian Socialist Party | PSI:2 | Partito Socialista Italiano,False
[CLS] Gary Carr is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Progressive Conservative Party of Ontario | Ontario Progressive Conservative Party | Parti progressiste:2 - conservateur de l ' Ontario | Progressive Conservative Party of Ontario | Tories:2,False
[CLS] Elyakim:3 Haetzni:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Haetzni:3,Tehiya:3 | Tehiya:3,False
[CLS] Samuel Brown is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,United Farmers:2 of Alberta | UFA:2 | United Farmers:2 of Alberta,False
[CLS] Jonathan Bing is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Sha Sha Sha Sha Sha,Democratic Party | Democrat | Democratic Party | Democratic Party ( United States ) | Democratic Party of the United States | Democrats | Dems:2 | United States Democratic Party,False
[CLS] Jual:2 Oram:2 is a member of the [MASK] [MASK] political party . [SEP],Jual:2,Bharatiya:4 Janata:2 Party | BJP:3 | Bharatiya:4 Janata:2 Party,False
[CLS] Hugo Rodríguez Díaz is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Social Social Social Social,Institutional:2 Revolutionary Party | Institutional:2 Revolutionary Party | National Revolutionary Party | Partido Constitucionalista:2 | Partido de centro izquierda | Party of the Mexican Revolution,False
[CLS] Wu De is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of China,Communist Party of China | CCP:2 | CPC:2 | Chinese Communist Party | Communist Party of China | TG:2,False
[CLS] Titus Mlengeya:4 Dismas:2 Kamani:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Mlengeya:4,Party of the Revolution | CCM:2 | Chama:2 cha Mapinduzi:3 | Party of the Revolution,False
[CLS] Ray Thorburn:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Cecilia Bobrovskaya:4 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of Russia,Communist Party of the Soviet Union | Bolshevik:3 Party | CPSU:2 | Communist Party of the Soviet Union | RCP:2 ( b ) | Russian Communist Party ( Bolsheviks:4 ),False
[CLS] Marie Nordén:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],social - social,Swedish Social Democratic Party | Socialdemokraterna:5 | Sveriges socialdemokratiska:5 arbetareparti:4 | Swedish Social Democratic Party,False
[CLS] Joseph H . Casey is a member of the [MASK] [MASK] [MASK] political party . [SEP],House House Party,Nova Scotia Liberal Party | Grits:2 | Liberal Party of Nova Scotia | Nova Scotia Liberal Party,False
[CLS] Hillevi:2 Engström:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],socialdemokrata:4,Moderate:2 Party | Moderate:2 Party,False
[CLS] Kofi:2 Portuphy:3 is a member of the [MASK] [MASK] political party . [SEP],Kofi:2,National Democratic Congress | NDC:2 | National Democratic Congress,False
[CLS] Angus McGillis:2 is a member of the [MASK] [MASK] political party . [SEP],Ulster Ulster,Progressive Conservative Party of Ontario | Ontario Progressive Conservative Party | Parti progressiste:2 - conservateur de l ' Ontario | Progressive Conservative Party of Ontario | Tories:2,False
[CLS] John McAdam:4 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Liberal - Conservative Party | Liberal - Conservative Party,False
[CLS] Bernhard Eriksson is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of Norway,Swedish Social Democratic Party | Socialdemokraterna:5 | Sveriges socialdemokratiska:5 arbetareparti:4 | Swedish Social Democratic Party,False
[CLS] Yoram:2 Marciano:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Yoram:2 Marciano:2,Israeli Labor Party | Avoda:2 | HaAvoda:3 | Israeli Labor Party | Mifleget:3 Ha ' Avodah:3,False
[CLS] Haribhau:3 Joshi:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Bharatiya:4 Janata:2 Party | BJP:3 | Bharatiya:4 Janata:2 Party,False
[CLS] Mian:2 Iftikhar:3 Hussain:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],BJP:3,Awami:2 National Party | Awami:2 National Party,False
[CLS] Hanna Elise Marcussen:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Ar Ar Ar,Green Party | Green Party,False
[CLS] Yvonne Jones is a member of the [MASK] [MASK] political party . [SEP],United States,Liberal Party of Canada | Grits:2 | LPC:2 | Liberal Party of Canada,False
[CLS] January Makamba:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],K K K,Party of the Revolution | CCM:2 | Chama:2 cha Mapinduzi:3 | Party of the Revolution,False
[CLS] Willie Rennie:2 is a member of the [MASK] [MASK] political party . [SEP],United States,Liberal Democrats | Lib:2 Dems:2 | Liberal Democrats,False
"[CLS] Hervey:2 Rhodes , Baron Rhodes is a member of the [MASK] [MASK] political party . [SEP]",Labour Party,Labour Party | Labour | Labour Party | Labour Party ( UK ),True
[CLS] Michael Polley:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Heinz Nittel:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,Social Democratic Party of Austria | SPÖ | Social Democratic Party of Austria | Sozialdemokratische:6 Partei Österreichs,False
[CLS] Conrad Fink is a member of the [MASK] [MASK] [MASK] political party . [SEP],K K K,Party y Tontis:2 | Aliados:2 de Charnegos:3 Payeses:2 y Payasos:3 | Party y Tontis:2,False
[CLS] Johann Anetseder:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social - Social,Christian Social Union of Bavaria | CSU | CSU ( DE ) | Christian Social Union in Bavaria | Christian Social Union of Bavaria | Christlich:2 - Soziale:2 Union,False
[CLS] Arturo Armando Molina is a member of the [MASK] [MASK] [MASK] political party . [SEP],New New New,National Coalition Party | National Coalition Party | National Concertation:2 Party,False
[CLS] Walter Tucker is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Lords,Saskatchewan Liberal Party | Grits:2 | Liberal Party of Ssakatchewan:5 | Saskatchewan Liberal Party,False
[CLS] Ulf Sjösten:3 is a member of the [MASK] [MASK] political party . [SEP],Linköping:2,Moderate:2 Party | Moderate:2 Party,False
[CLS] Brian McGowan:5 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Hedvig:3 Gebhard:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],socialdemokrata:4,Finnish Party | Finnish Party,False
[CLS] Shigeki:3 Sato is a member of the [MASK] [MASK] [MASK] political party . [SEP],Ni - Ni,Komeito:2 | Komeito:2 | Kōmeitō:4 | New Kōmei:3 Party,False
[CLS] P . Ayngaranesan:4 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],P . P .,Tamil National Alliance | TNA | Tamil National Alliance,False
[CLS] Radheshyam:4 Biswas:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,All India United Democratic Front | All India United Democratic Front,False
[CLS] Zoltán Bagó:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],U . S .,Fidesz:3 | Fidesz:3 | Fidesz:3 - Magyar Polgári:2 Szövetség:2 - Keresztény:4 Demokrata:3 Néppárt:3,False
[CLS] Karl Retzlaw:3 is a member of the [MASK] [MASK] political party . [SEP],Czech Republic,Communist Party of Germany | Communist Party of Germany | KPD,False
[CLS] Chandler Woodcock:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Maine Republican Party | Maine Republican Party,False
[CLS] William Lyne:2 Wilson is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Bourbon Democrat | Bourbon Democrat,False
[CLS] Hugo Spatz:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social - Social,Nazi Party | NSDAP | National Socialist German Workers ' Party | Nationalsozialistische:4 Deutsche Arbeiterpartei:2 | Nazi Party,False
[CLS] Paul Kehoe:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],K K K,Fine Gael:2 | Fine Gael:2,False
[CLS] Helen Westwood is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Tristram:3 Hunt is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Labour Party | Labour | Labour Party | Labour Party ( UK ),True
[CLS] Ruth Richardson is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,New Zealand National Party | National Party of New Zealand | New Zealand National Party,False
[CLS] Ana Bricia:2 Muro:2 González is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social Democratic Party,Institutional:2 Revolutionary Party | Institutional:2 Revolutionary Party | National Revolutionary Party | Partido Constitucionalista:2 | Partido de centro izquierda | Party of the Mexican Revolution,False
[CLS] Jiang Shan is a member of the [MASK] [MASK] [MASK] political party . [SEP],People ' s,Communist Party of China | CCP:2 | CPC:2 | Chinese Communist Party | Communist Party of China | TG:2,False
[CLS] Stephen Woodworth:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Conservative Party of Canada | Conservative Party of Canada | Parti conservateur du Canada | Tories:2,False
[CLS] Raime:2 Unggi:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social Social Party,United Malays:2 National Organisation | United Malays:2 National Organisation,False
[CLS] André Bernier:2 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Social Credit Party of Canada | Social Credit Party | Social Credit Party of Canada,False
[CLS] Pino Rauti:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Rauti:2 - Rauti:2,Italian Social Movement | Italian Social Movement | MSI:2,False
[CLS] Andrew Broder:2 is a member of the [MASK] [MASK] political party . [SEP],United States,Progressive Conservative Party of Ontario | Ontario Progressive Conservative Party | Parti progressiste:2 - conservateur de l ' Ontario | Progressive Conservative Party of Ontario | Tories:2,False
[CLS] Hari Om Pandey:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Bharatiya:4 Janata:2 Party | BJP:3 | Bharatiya:4 Janata:2 Party,False
[CLS] Otto Telschow:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of Germany,Nazi Party | NSDAP | National Socialist German Workers ' Party | Nationalsozialistische:4 Deutsche Arbeiterpartei:2 | Nazi Party,False
[CLS] Suryakant:3 Acharya:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Bharatiya:4 Janata:2 Party | BJP:3 | Bharatiya:4 Janata:2 Party,False
[CLS] Hua Guofeng:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of China,Communist Party of China | CCP:2 | CPC:2 | Chinese Communist Party | Communist Party of China | TG:2,False
[CLS] Demetri:3 Dollis:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Sokrates:3,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Julieta:2 Marín Torres is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],P . P .,Institutional:2 Revolutionary Party | Institutional:2 Revolutionary Party | National Revolutionary Party | Partido Constitucionalista:2 | Partido de centro izquierda | Party of the Mexican Revolution,False
[CLS] Guillermo Ruiz de Teresa is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Social Party of Chile,Institutional:2 Revolutionary Party | Institutional:2 Revolutionary Party | National Revolutionary Party | Partido Constitucionalista:2 | Partido de centro izquierda | Party of the Mexican Revolution,False
[CLS] Andrej Bajuk:2 is a member of the [MASK] [MASK] political party . [SEP],Serb:2,New Slovenia | New Slovenia,False
[CLS] K . Lakkappa:3 is a member of the [MASK] [MASK] political party . [SEP],Congress Party,Indian National Congress | Congress | INC:2 | Indian National Congress,False
[CLS] Peter Anderson is a member of the [MASK] [MASK] political party . [SEP],United States,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Alexander Kerensky:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of Russia,Socialist Revolutionary Party | Socialist Revolutionary Party,False
[CLS] Rob Stokes is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Liberal Party of Australia | Lib:2 | Liberal Party of Australia,False
[CLS] Merv:2 Hunter is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Leonel:2 Cota:2 Montaño:2 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Party of the Democratic Revolution | PRD:2 | Party of the Democratic Revolution,False
[CLS] Bernard Jean is a member of the [MASK] [MASK] [MASK] political party . [SEP],Médoc:3,New Brunswick Liberal Association | Grits:2 | Liberal Party of New Brunswick | New Brunswick Liberal Association | New Brunswick Liberal Party,False
[CLS] Edward Farrell is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],"Labour Party , a",Nova Scotia Liberal Party | Grits:2 | Liberal Party of Nova Scotia | Nova Scotia Liberal Party,False
[CLS] Kumba:2 Ialá:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],K K K,Party for Social Renewal:2 | Party for Social Renewal:2,False
[CLS] Parm:2 Gill is a member of the [MASK] [MASK] [MASK] political party . [SEP],BJP:3,Conservative Party of Canada | Conservative Party of Canada | Parti conservateur du Canada | Tories:2,False
[CLS] Pier Luigi Bersani:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Communist Party of Italy,Italian Communist Party | Italian Communist Party | PCI | Partito Comunista Italiano,False
[CLS] Das Williams is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Nakhtiari:4,California Democratic Party | California Democratic Party,False
[CLS] Henry Berry is a member of the [MASK] [MASK] [MASK] political party . [SEP],New Jersey Party,Labour Party | Labour | Labour Party | Labour Party ( UK ),False
[CLS] Bai Wanxiang:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of China,Kuomintang:3 | Chinese Nationalist:2 Party | GMD:2 | Guomindang:3 | KMT:2 | Kuomintang:3 | Kuomintang:3 of China,False
[CLS] Screaming:2 Lord Sutch:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],K K K,Official Monster Raving:2 Loony:2 Party | Monster Raving:2 Loony:2 Party | Official Monster Raving:2 Loony:2 Party,False
[CLS] José Manzur:2 Quiroga:2 is a member of the [MASK] [MASK] political party . [SEP],PNV:2,Institutional:2 Revolutionary Party | Institutional:2 Revolutionary Party | National Revolutionary Party | Partido Constitucionalista:2 | Partido de centro izquierda | Party of the Mexican Revolution,False
[CLS] Ron Duhamel:3 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Liberal Party of Canada | Grits:2 | LPC:2 | Liberal Party of Canada,False
[CLS] Ingegerd:3 Saarinen:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,Green Party | Green Party | Miljöpartiet:3 de Gröna:4,False
[CLS] John Hugill:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Alberta Social Credit Party | Alberta Social Credit Party,False
[CLS] Rupert Scholz:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],K K K K K,Christian Democratic Union | CDU | Christian Democratic Union | Christian Democratic Union of Germany | Christlich:2 Demokratische:3 Union | Christlich:2 Demokratische:3 Union Deutschlands,False
[CLS] Freundel:2 Stuart is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],K K K K K,Democratic Labour Party | DLP:2 | Democratic Labour Party,False
[CLS] John M . Fabrizi:3 is a member of the [MASK] [MASK] political party . [SEP],United States,Democratic Party | Democrat | Democratic Party | Democratic Party ( United States ) | Democratic Party of the United States | Democrats | Dems:2 | United States Democratic Party,False
[CLS] Veerle:3 Wouters:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,New Flemish:3 Alliance | N - VA | New Flemish:3 Alliance | Nieuw - Vlaamse Alliantie:3,False
[CLS] Fritz Müller is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Communist Party of Germany,Socialist Unity Party of Germany | East German Communist Party | SED | Socialist Unity Party of Germany | Sozialistische:3 Einheitspartei:2 Deutschlands,False
[CLS] Hermann Hummel:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social - Social,German Democratic Party | DDP:2 | Deutsche Demokratische:3 Partei | German Democratic Party,False
[CLS] Lilian:2 Helder:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],U . S .,Party for Freedom | PVV:2 | Partij voor de Vrijheid:3 | Party for Freedom,False
[CLS] Theo Bot is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],U . S .,Catholic People ' s Party | Catholic People ' s Party | KVP:2,False
[CLS] Martin Gallagher is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,New Zealand Labour Party | New Zealand Labour Party,False
[CLS] Keir:2 Hardie:2 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Labour Party | Labour | Labour Party | Labour Party ( UK ),True
[CLS] Kim Howells:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Labour Party | Labour | Labour Party | Labour Party ( UK ),False
[CLS] Jorge Romero Romero is a member of the [MASK] [MASK] political party . [SEP],El Salvador,Institutional:2 Revolutionary Party | Institutional:2 Revolutionary Party | National Revolutionary Party | Partido Constitucionalista:2 | Partido de centro izquierda | Party of the Mexican Revolution,False
[CLS] Akbaruddin:2 Owaisi:3 is a member of the [MASK] [MASK] political party . [SEP],Pakistan Pakistan,All India Majlis - e - Ittehadul:4 Muslimeen:2 | All India Majlis - e - Ittehadul:4 Muslimeen:2,False
[CLS] Ty Lund is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of Norway,Progressive Conservative Association of Alberta | Alberta Progressive Conservative Party | Progressive Conservative Association of Alberta | Progressive Conservative Party of Alberta | Tories:2,False
[CLS] Shiaan:2 - Bin Huang is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Shiaan:2 - Bin Huang,African National Congress | ANC | African National Congress | SANNC:3,False
